지표,유효 데이터,평균 오차,중앙값 오차,표준편차,< -100%,-100%~-90%,-90%~-80%,-80%~-70%,-70%~-60%,-60%~-50%,-50%~-40%,-40%~-30%,-30%~-20%,-20%~-10%,-10%~0%,0%~+10%,+10%~+20%,+20%~+30%,+30%~+40%,+40%~+50%,+50%~+60%,+60%~+70%,+70%~+80%,+80%~+90%,+90%~+100%,> +100%
Max Dim (최대 치수),23,-23.5%,-34.0%,31.8%,0.0%,0.0%,0.0%,0.0%,4.3%,17.4%,21.7%,13.0%,0.0%,4.3%,26.1%,4.3%,0.0%,0.0%,0.0%,4.3%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Mid Dim (중간 치수),23,-23.6%,-33.3%,34.9%,0.0%,0.0%,0.0%,0.0%,8.7%,4.3%,21.7%,17.4%,8.7%,13.0%,17.4%,0.0%,0.0%,0.0%,0.0%,0.0%,4.3%,0.0%,0.0%,4.3%,0.0%,0.0%
Min Dim (최소 치수),23,-71.0%,-83.3%,27.1%,0.0%,17.4%,39.1%,8.7%,4.3%,13.0%,8.7%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Volume (부피),23,-72.3%,-91.6%,45.9%,0.0%,56.5%,13.0%,4.3%,8.7%,0.0%,4.3%,0.0%,4.3%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.3%
Weight (무게),23,14.9%,-14.0%,115.5%,0.0%,4.3%,30.4%,8.7%,0.0%,0.0%,0.0%,0.0%,0.0%,8.7%,0.0%,0.0%,0.0%,8.7%,8.7%,0.0%,4.3%,0.0%,0.0%,0.0%,4.3%,21.7%
