지표,유효 데이터,평균 오차,중앙값 오차,표준편차,< -100%,-100%~-90%,-90%~-80%,-80%~-70%,-70%~-60%,-60%~-50%,-50%~-40%,-40%~-30%,-30%~-20%,-20%~-10%,-10%~0%,0%~+10%,+10%~+20%,+20%~+30%,+30%~+40%,+40%~+50%,+50%~+60%,+60%~+70%,+70%~+80%,+80%~+90%,+90%~+100%,> +100%
Max Dim (최대 치수),776,-37.4%,-40.1%,24.8%,0.0%,0.0%,0.6%,4.6%,12.0%,14.2%,18.6%,17.5%,11.9%,9.3%,3.7%,3.0%,1.7%,0.9%,0.8%,0.5%,0.1%,0.4%,0.1%,0.1%,0.0%,0.0%
Mid Dim (중간 치수),776,-40.1%,-45.3%,29.7%,0.0%,0.0%,0.6%,4.8%,16.9%,18.0%,20.9%,13.3%,9.7%,5.8%,2.3%,3.1%,1.0%,0.6%,1.0%,0.5%,0.5%,0.1%,0.0%,0.1%,0.1%,0.5%
Min Dim (최소 치수),776,-33.5%,-39.7%,36.5%,0.0%,1.4%,2.6%,7.9%,12.4%,15.2%,10.1%,11.5%,8.4%,9.1%,4.4%,5.0%,2.7%,2.7%,1.2%,2.3%,1.3%,0.6%,0.1%,0.4%,0.0%,0.8%
Volume (부피),776,-66.9%,-80.6%,43.5%,0.0%,31.1%,20.0%,14.3%,10.7%,5.4%,3.4%,2.8%,3.2%,1.3%,1.3%,0.9%,0.8%,1.3%,0.3%,0.6%,0.6%,0.4%,0.3%,0.3%,0.3%,0.9%
Weight (무게),776,0.1%,-34.3%,92.9%,0.0%,0.9%,6.1%,10.4%,14.9%,6.7%,8.0%,3.9%,3.5%,5.2%,3.5%,4.4%,2.1%,2.7%,4.3%,2.8%,1.9%,1.9%,1.2%,1.9%,1.3%,12.5%
