지표,유효 데이터,평균 오차,중앙값 오차,표준편차,< -100%,-100%~-90%,-90%~-80%,-80%~-70%,-70%~-60%,-60%~-50%,-50%~-40%,-40%~-30%,-30%~-20%,-20%~-10%,-10%~0%,0%~+10%,+10%~+20%,+20%~+30%,+30%~+40%,+40%~+50%,+50%~+60%,+60%~+70%,+70%~+80%,+80%~+90%,+90%~+100%,> +100%
Max Dim (최대 치수),56,-44.4%,-47.4%,23.1%,0.0%,0.0%,5.4%,10.7%,8.9%,17.9%,16.1%,10.7%,14.3%,7.1%,7.1%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Mid Dim (중간 치수),56,-46.6%,-48.0%,25.2%,0.0%,0.0%,0.0%,7.1%,23.2%,14.3%,30.4%,3.6%,10.7%,5.4%,1.8%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,0.0%,0.0%,0.0%
Min Dim (최소 치수),56,-57.2%,-63.4%,22.2%,0.0%,0.0%,3.6%,35.7%,14.3%,12.5%,16.1%,7.1%,1.8%,3.6%,3.6%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Volume (부피),0,nan%,nan%,nan%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Weight (무게),56,-65.1%,-73.6%,34.6%,0.0%,14.3%,26.8%,14.3%,8.9%,10.7%,8.9%,5.4%,7.1%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%
