지표,유효 데이터,평균 오차,중앙값 오차,표준편차,< -100%,-100%~-90%,-90%~-80%,-80%~-70%,-70%~-60%,-60%~-50%,-50%~-40%,-40%~-30%,-30%~-20%,-20%~-10%,-10%~0%,0%~+10%,+10%~+20%,+20%~+30%,+30%~+40%,+40%~+50%,+50%~+60%,+60%~+70%,+70%~+80%,+80%~+90%,+90%~+100%,> +100%
Max Dim (최대 치수),77,-57.8%,-64.6%,17.7%,0.0%,0.0%,0.0%,2.6%,74.0%,13.0%,1.3%,0.0%,0.0%,1.3%,5.2%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Mid Dim (중간 치수),77,-40.1%,-44.7%,18.4%,0.0%,0.0%,0.0%,0.0%,3.9%,16.9%,42.9%,24.7%,2.6%,1.3%,0.0%,3.9%,2.6%,0.0%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Min Dim (최소 치수),77,-53.2%,-59.4%,21.2%,0.0%,0.0%,1.3%,0.0%,39.0%,48.1%,1.3%,0.0%,1.3%,1.3%,1.3%,3.9%,0.0%,1.3%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Volume (부피),77,-82.2%,-92.1%,30.6%,0.0%,72.7%,16.9%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,1.3%,1.3%,0.0%,1.3%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Weight (무게),77,-66.9%,-78.1%,40.7%,0.0%,1.3%,27.3%,45.5%,15.6%,0.0%,0.0%,1.3%,2.6%,2.6%,1.3%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%
