지표,유효 데이터,평균 오차,중앙값 오차,표준편차,< -100%,-100%~-90%,-90%~-80%,-80%~-70%,-70%~-60%,-60%~-50%,-50%~-40%,-40%~-30%,-30%~-20%,-20%~-10%,-10%~0%,0%~+10%,+10%~+20%,+20%~+30%,+30%~+40%,+40%~+50%,+50%~+60%,+60%~+70%,+70%~+80%,+80%~+90%,+90%~+100%,> +100%
Max Dim (최대 치수),8879,-37.7%,-41.7%,29.0%,0.0%,0.1%,0.8%,4.9%,11.7%,17.3%,17.6%,16.5%,10.8%,8.8%,4.4%,3.1%,1.1%,0.8%,0.6%,0.4%,0.2%,0.2%,0.1%,0.1%,0.1%,0.5%
Mid Dim (중간 치수),8879,-38.8%,-44.9%,37.6%,0.0%,0.2%,1.0%,6.8%,15.2%,17.3%,18.3%,12.1%,10.1%,7.1%,3.7%,2.6%,2.0%,1.0%,0.7%,0.4%,0.4%,0.2%,0.2%,0.1%,0.1%,0.6%
Min Dim (최소 치수),8879,-56.2%,-62.5%,36.2%,0.0%,14.4%,12.9%,13.0%,12.4%,10.7%,10.7%,8.3%,5.2%,4.2%,2.3%,2.2%,0.8%,0.9%,0.3%,0.5%,0.3%,0.2%,0.1%,0.2%,0.1%,0.6%
Volume (부피),8879,-77.5%,-90.0%,55.0%,0.0%,50.0%,20.1%,10.1%,6.2%,3.2%,2.5%,1.8%,1.3%,1.0%,0.7%,0.4%,0.4%,0.3%,0.2%,0.3%,0.2%,0.2%,0.1%,0.1%,0.1%,0.8%
Weight (무게),8879,-18.1%,-39.4%,322.8%,0.0%,3.2%,6.5%,9.0%,10.7%,9.5%,10.2%,9.2%,7.0%,7.1%,4.9%,4.0%,3.4%,2.2%,1.9%,1.7%,1.2%,1.2%,0.7%,0.8%,0.5%,5.0%
