category,abs_weight_error,abs_volume_error,count
이미지 확대보기 > 이미지 축소보기 > 이미지 확대보기 초기화 > ,0.9375,0.9907986750092014,1
홈 > 라면/컵누들/곤누들 > 컵라면 > ,0.8813056379821959,0.9902543320985506,1
Home ||남성 ||용품 ||기타용품 > Home > 남성 > 용품 > 기타용품 > MT BEAR KEYRING > ,0.7101449275362318,0.9901613537977174,1
HOME > SALE > ,0.7429305912596401,0.9901192279823464,1
스포츠/레저>골프>골프공,0.9793761278680072,0.9899192363307197,1
여성액세서리 > 주얼리 > 목걸이,0.523076923076923,0.9890696586187833,2
자동차용품>세차/관리용품>타월/스펀지>타월/브러쉬,0.7969543147208121,0.9889984157718712,1
undefined > undefined > undefined > ,0.411764705882353,0.9886019129181588,1
식품>라면/면류>면류>당면,0.936685288640596,0.9885755320537928,1
인테리어/원예,0.8122858541360745,0.9885365343822456,2
쿠팡 홈 > 쿠팡수입 > 식품 > 과자/초콜릿/시리얼 > 비스킷/크래커 > 비스킷 > ,0.7753818508535489,0.988477366255144,1
문구/GIFT > 디자인문구 > 다이어리/스케줄러 > 다이어리 (날짜형) > ,0.696969696969697,0.9884553220965135,1
Home > All product > ,0.7752808988764044,0.9884407877702214,1
디지털/라이프 컬처/취미/소품 기타 컬처,0.9267399267399268,0.9883747965589398,1
About > Archive > Wholesale > Order > Customer Care > Legal > Instagram > Flash Game > ,0.6516839293857077,0.9883220100740072,3
문구/사무용품 > 팬시용품 > 스티커,0.8947368421052632,0.9882983782488384,1
{#item} {#title} > ,0.8060526256976793,0.9882631064260473,12
Home > ROYALTAILS > ,0.9572421165152324,0.9882489531785308,1
홈 > ACCESSORY > NECKLACE > casual > ,0.19668484149453008,0.9880631712602589,17
생활/건강>생활용품>화장지>냅킨,0.2038216560509554,0.9880425066885434,1
로그인 > 회원가입 > 마이페이지 > 장바구니 0 > 커뮤니티 > ,0.4594594594594594,0.9880382775119616,1
쥬얼리 > 귀걸이/피어싱 > 패션 귀걸이 > ,0.7999999999999999,0.9878167641325536,1
HOME > SHOP > NECKLACE > ,0.1999999999999999,0.9875992063492064,1
주방용품 > 조리도구 > 베이킹용품 > 계량스푼·계량컵 > ,0.90521327014218,0.9875858000372788,1
남성액세서리 > 기타 액세서리 > 키링,0.3939393939393939,0.9874739458072792,1
쥬얼리/시계>패션시계>목걸이/회중시계,0.6078431372549019,0.9873737373737372,1
문구/사무용품>문구용품>스티커>포토스티커,0.6946386946386947,0.9873016450220071,2
주얼리>브로치/배지>배지/와펜,0.5,0.9872448979591836,1
패션잡화>주얼리>목걸이>실버목걸이,0.5454545454545454,0.9871794871794872,1
홈 > 메이크업 > 페이스 메이크업 > 하이라이터 > ,0.0344827586206896,0.9869918699186992,1
홈 > 그랑핸드 > ,0.9367088607594936,0.9869441044471644,1
도서/음반>음반>가요>팝/댄스,0.8830409356725146,0.9867762805262218,1
패션잡화>주얼리>목걸이>14K목걸이,0.9148936170212766,0.9867724867724867,1
도서/티켓/문구 > 티켓 > 콘서트 > ,0.6762257169287696,0.9867678603636847,2
Home > Shop All > Home Fragrance > Sachet > ,0.7752808988764044,0.9865384615384616,1
액세서리 > METAL TAG S > ,0.0909090909090908,0.9864718614718616,1
주얼리,0.7999999999999999,0.9864718614718616,1
디지털/가전>자동차기기>내비게이션/액세서리>내비게이션액세서리,0.5744680851063829,0.986449864498645,1
홈 > CATEGORIES > ACCESSORIES > ,0.5454545454545454,0.9862487950506664,1
스타굿즈 > 배우(여) > 팬시/포토카드 > ,0.4943336764125294,0.9861883350314941,5
커피/음료 > 차류 > 녹차,0.1584852734922861,0.9859708193041526,1
목걸이,0.1679078231709811,0.9854725019271315,10
소동물용품>기타 애완용품>애완용품 기타,0.2592592592592592,0.9853479853479854,1
홈 > clor > Acc > ,0.7826086956521738,0.9848170072839496,1
쥬얼리 > 기타 쥬얼리 > ,0.8757763975155279,0.9847647482112596,1
쥬얼리 > 목걸이/펜던트 > 패션 목걸이 > ,0.36124756335282654,0.9838223504890172,3
속옷/홈웨어 > 홈웨어,0.2537313432835821,0.9838039631702122,1
쥬얼리 > 반지 > 은반지 > ,0.9166666666666669,0.9836601307189542,1
스타굿즈 > 솔로(여) > 팬시/포토카드 > ,0.37463695146658815,0.9835594774731328,27
도서/음반/DVD>DVD/음반>음반>아티스트 관련상품,0.8843930635838151,0.9835517298097484,1
Shop > Season Off > ,0.6655518394648829,0.9835390946502056,1
Home > BLACK FRIDAY > ,0.6825396825396826,0.9835365853658536,1
소유템 회원가입하면 📢쿠폰팩이 와르르르~~ > ,0.2307692307692307,0.9835309617918312,1
스타굿즈 > 솔로(남) > 팬시/포토카드 > ,0.4396484990629344,0.983041610846311,45
생활/건강>주방용품>제과/제빵용품>계량컵,0.6491228070175439,0.9829994299951744,1
MOMENTEL > undefined > ,0.8931623931623932,0.9829415954415954,2
국내도서 > 잡지 > 여성/남성 > 여성지 > ,0.8013245033112583,0.982902960526316,1
장난감/완구 > 역할놀이완구 > 병원놀이,0.7811217510259917,0.9828627101566338,1
과자파이/과자케이크,0.968675623800384,0.9826913372582,1
물티슈>물티슈>캡형,0.958170663692136,0.9825982924574472,1
출산/육아>아기간식>유아과자,0.7777777777777778,0.9820692128384436,1
출산/육아>출산/돌기념품>돌잔치용품>돌잔치소품,0.6,0.981962481962482,1
에어팟/버즈 키링,0.5454545454545454,0.981921158897104,1
Instagram > Kakao > App Down > ,0.817629179331307,0.981819650937298,1
home > ALL > ,0.5121951219512194,0.9817624328914524,1
HOME > CD&DVD > ,0.8843930635838151,0.9814602932451902,1
